City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Atambua,ID,-9.1061,124.8925,85.39,58,59,2.77,broken clouds
262,Kempele,FI,64.9131,25.5034,30.22,100,20,4.61,fog
263,Obo,CF,5.3998,26.4869,74.17,82,71,3.89,broken clouds
264,Geraldton,AU,-28.7667,114.6,73.81,35,0,18.41,clear sky
265,Mkushi,ZM,-13.6202,29.3939,70.9,36,0,9.91,clear sky
266,Sola,VU,-13.8833,167.55,80.22,79,56,7.9,light rain
267,Quatre Cocos,MU,-20.2078,57.7625,79.09,82,37,9.82,light rain
268,Prince Rupert,CA,54.3161,-130.3201,47.89,84,90,9.22,light rain
269,Bima,ID,-8.4667,118.7167,95.47,38,49,1.25,scattered clouds
270,Mogadouro,PT,41.3403,-6.7119,46.78,49,1,5.48,clear sky
271,Morro Bay,US,35.3658,-120.8499,57.15,60,0,1.01,clear sky
272,Jacobina,BR,-11.1806,-40.5183,67.14,97,50,3.96,scattered clouds
273,La Crosse,US,43.8014,-91.2396,60.93,90,86,2.64,overcast clouds
274,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,71,75,8.95,light intensity shower rain
275,Liverpool,GB,53.4106,-2.9779,56.08,90,75,1.99,broken clouds
276,Uong Bi,VN,21.0333,106.7833,69.78,83,100,18.63,overcast clouds
277,Airai,TL,-8.9266,125.4092,74.01,58,73,2.44,broken clouds
278,Little Current,CA,45.9793,-81.9248,62.69,96,98,4.61,overcast clouds
279,Zernograd,RU,46.8452,40.3083,55.15,99,38,19.28,scattered clouds
280,Kismayo,SO,-0.3582,42.5454,80.33,67,100,13.27,overcast clouds
281,San Patricio,US,28.017,-97.5169,84.07,79,47,13.96,scattered clouds
282,Loikaw,MM,19.6742,97.2094,82.4,63,72,4.05,broken clouds
283,Tiznit,MA,29.5833,-9.5,57.2,94,29,0.16,scattered clouds
284,Nara,JP,34.6851,135.8049,79.97,71,74,6.96,broken clouds
285,Maine-Soroa,NE,13.2114,12.0241,82.06,15,3,2.19,clear sky
286,Panalingaan,PH,8.7842,117.4231,86.2,66,67,10.51,broken clouds
287,Kavaratti,IN,10.5669,72.642,82.29,79,73,20.51,broken clouds
288,Nizhneangarsk,RU,55.7833,109.55,32.81,43,100,1.48,overcast clouds
289,Griffith,US,41.5284,-87.4237,59.02,100,90,0.0,fog
290,Sitka,US,57.0531,-135.33,48.09,71,90,17.27,light rain
291,Gibraleon,ES,37.3763,-6.969,63.01,69,0,1.63,clear sky
292,Kutum,SD,14.2,24.6667,71.28,72,100,14.5,overcast clouds
293,Ilulissat,GL,69.2167,-51.1,33.82,55,68,4.61,broken clouds
294,Zhuhai,CN,22.2769,113.5678,80.98,89,40,24.16,light rain
295,Maralal,KE,1.0968,36.698,66.13,55,90,4.94,overcast clouds
296,Baker City,US,44.7749,-117.8344,37.18,54,75,3.44,broken clouds
297,Ofunato,JP,39.0717,141.7167,63.55,85,98,10.78,overcast clouds
298,Najran,SA,17.4924,44.1277,75.85,14,98,4.81,overcast clouds
299,Almaznyy,RU,48.0448,40.045,51.94,74,84,17.9,broken clouds
300,Las Vegas,US,36.175,-115.1372,57.56,39,1,3.44,dust
301,Emerald,AU,-23.5333,148.1667,96.94,21,40,9.22,scattered clouds
302,Linhares,BR,-19.3911,-40.0722,68.4,94,86,1.32,overcast clouds
303,Nadvoitsy,RU,63.8667,34.3167,43.29,87,100,6.69,overcast clouds
304,High Level,CA,58.5169,-117.136,44.71,45,1,10.36,clear sky
305,Santa Maria Del Oro,MX,25.9333,-105.3667,61.18,78,100,3.11,overcast clouds
306,Waddan,LY,29.1614,16.139,65.62,57,0,3.74,clear sky
307,Agarak,AM,39.2068,46.5446,58.77,55,50,2.57,scattered clouds
308,Kapoeta,SS,4.7717,33.5903,80.98,56,85,5.66,overcast clouds
309,Mwene-Ditu,CD,-7.0,23.45,71.4,82,85,2.06,overcast clouds
310,Keti Bandar,PK,24.1447,67.4497,88.61,42,0,4.05,clear sky
311,Kushmurun,KZ,52.4503,64.6311,52.32,57,100,7.23,overcast clouds
312,Roma,US,43.2128,-75.4557,63.84,92,1,4.61,clear sky
313,Tabou,CI,4.423,-7.3528,76.05,94,95,6.04,overcast clouds
314,Riverton,US,40.5219,-111.9391,41.18,87,90,5.01,light rain
315,Gonnoi,GR,39.8667,22.4667,49.39,77,32,1.14,scattered clouds
316,Casablanca,MA,33.5928,-7.6192,62.74,86,4,2.35,clear sky
317,Palmer,US,42.1584,-72.3287,59.5,86,1,3.44,mist
318,Biltine,TD,14.5333,20.9167,89.83,31,96,12.39,overcast clouds
319,Faya,SA,18.3851,42.4509,66.31,15,50,10.56,scattered clouds
320,Uray,RU,60.1247,64.7758,45.07,80,82,5.68,broken clouds
321,Khandyga,RU,62.6667,135.6,26.89,61,100,4.5,overcast clouds
322,Muhos,FI,64.808,25.9931,29.98,94,96,0.76,overcast clouds
323,Tamandare,BR,-8.7597,-35.1047,73.67,82,41,3.33,scattered clouds
324,Bulgan,MN,48.8125,103.5347,45.91,34,4,9.19,clear sky
325,Deputatskiy,RU,69.3,139.9,21.07,95,100,4.14,light snow
326,Semnan,IR,35.5729,53.3971,66.83,16,23,3.38,few clouds
327,Tomakomai,JP,42.6369,141.6033,66.72,55,20,9.22,few clouds
328,Udachnyy,RU,66.4167,112.4,20.73,92,100,15.64,light snow
329,Casteltermini,IT,37.5405,13.6445,58.75,76,45,1.54,scattered clouds
330,Lakes Entrance,AU,-37.8811,147.981,66.58,60,69,14.23,broken clouds
331,Husavik,IS,66.0449,-17.3389,37.31,99,100,12.08,overcast clouds
332,Narrabri,AU,-30.3167,149.7833,76.51,46,40,11.5,scattered clouds
333,Port Lincoln,AU,-34.7333,135.8667,57.79,51,88,20.92,overcast clouds
334,Christchurch,NZ,-43.5333,172.6333,49.03,66,75,8.99,broken clouds
335,Kamaishi,JP,39.2667,141.8833,63.55,85,97,9.01,overcast clouds
336,Bud,US,39.447,-86.1758,57.58,97,66,3.6,broken clouds
337,Suruc,TR,36.9761,38.425,70.0,43,28,5.77,scattered clouds
338,Balkhash,KZ,46.844,74.9804,41.61,42,0,15.66,clear sky
339,Kloulklubed,PW,7.0419,134.2556,81.1,75,100,11.56,overcast clouds
340,Half Moon Bay,US,37.4636,-122.4286,56.1,59,1,0.0,clear sky
341,Krasnyy Chikoy,RU,50.3643,108.7512,40.62,74,99,9.86,overcast clouds
342,Palu,ID,-0.8917,119.8707,87.03,79,97,3.49,overcast clouds
343,Sakakah,SA,29.9697,40.2064,74.77,14,69,10.78,broken clouds
344,San Rafael,AR,-34.6177,-68.3301,61.7,63,88,4.81,overcast clouds
345,Sorong,ID,-0.8833,131.25,86.34,68,98,11.95,overcast clouds
346,Katsuura,JP,35.1333,140.3,68.11,86,100,15.95,overcast clouds
